ProductID,WeekStartDate,InventoryQuantity,WeeklySales,StockPurchased,NetQuantity,ReorderPoint,SafetyStockLevel,StockStatus
1,NULL,408,0,0,408,750,1000,StockOut
1,NULL,324,0,0,324,750,1000,StockOut
1,NULL,353,0,0,353,750,1000,StockOut
2,NULL,427,0,0,427,750,1000,StockOut
2,NULL,318,0,0,318,750,1000,StockOut
2,NULL,364,0,0,364,750,1000,StockOut
3,NULL,585,0,0,585,600,800,StockOut
3,NULL,443,0,0,443,600,800,StockOut
3,NULL,324,0,0,324,600,800,StockOut
4,NULL,512,0,0,512,600,800,StockOut
4,NULL,422,0,0,422,600,800,StockOut
4,NULL,388,0,0,388,600,800,StockOut
316,NULL,532,0,0,532,600,800,StockOut
316,NULL,388,0,0,388,600,800,StockOut
316,NULL,441,0,0,441,600,800,StockOut
317,NULL,283,0,0,283,375,500,StockOut
317,NULL,158,0,0,158,375,500,StockOut
317,NULL,152,0,0,152,375,500,StockOut
318,NULL,136,0,0,136,375,500,StockOut
318,NULL,171,0,0,171,375,500,StockOut
318,NULL,132,0,0,132,375,500,StockOut
319,NULL,308,0,0,308,375,500,StockOut
319,NULL,184,0,0,184,375,500,StockOut
319,NULL,305,0,0,305,375,500,StockOut
320,NULL,481,0,0,481,750,1000,StockOut
320,NULL,372,0,0,372,750,1000,StockOut
320,NULL,283,0,0,283,750,1000,StockOut
321,NULL,569,0,0,569,750,1000,StockOut
321,NULL,540,0,0,540,750,1000,StockOut
321,NULL,641,0,0,641,750,1000,StockOut
322,NULL,622,0,0,622,750,1000,StockOut
322,NULL,587,0,0,587,750,1000,StockOut
322,NULL,475,0,0,475,750,1000,StockOut
323,NULL,603,0,0,603,750,1000,StockOut
323,NULL,568,0,0,568,750,1000,StockOut
323,NULL,513,0,0,513,750,1000,StockOut
324,NULL,585,0,0,585,750,1000,StockOut
324,NULL,568,0,0,568,750,1000,StockOut
324,NULL,476,0,0,476,750,1000,StockOut
325,NULL,569,0,0,569,750,1000,StockOut
325,NULL,540,0,0,540,750,1000,StockOut
325,NULL,641,0,0,641,750,1000,StockOut
326,NULL,622,0,0,622,750,1000,StockOut
326,NULL,587,0,0,587,750,1000,StockOut
326,NULL,475,0,0,475,750,1000,StockOut
327,NULL,408,0,0,408,600,800,StockOut
327,NULL,443,0,0,443,600,800,StockOut
327,NULL,513,0,0,513,600,800,StockOut
328,NULL,568,0,0,568,750,1000,StockOut
328,NULL,585,0,0,585,750,1000,StockOut
328,NULL,476,0,0,476,750,1000,StockOut
329,NULL,558,0,0,558,750,1000,StockOut
329,NULL,576,0,0,576,750,1000,StockOut
329,NULL,467,0,0,467,750,1000,StockOut
330,NULL,548,0,0,548,750,1000,StockOut
330,NULL,566,0,0,566,750,1000,StockOut
330,NULL,457,0,0,457,750,1000,StockOut
331,NULL,574,0,0,574,600,800,StockOut
331,NULL,441,0,0,441,600,800,StockOut
331,NULL,390,0,0,390,600,800,StockOut
332,NULL,344,0,0,344,375,500,StockOut
332,NULL,233,0,0,233,375,500,StockOut
332,NULL,267,0,0,267,375,500,StockOut
341,NULL,372,0,0,372,750,1000,StockOut
341,NULL,392,0,0,392,750,1000,StockOut
341,NULL,339,0,0,339,750,1000,StockOut
342,NULL,369,0,0,369,750,1000,StockOut
342,NULL,388,0,0,388,750,1000,StockOut
342,NULL,336,0,0,336,750,1000,StockOut
343,NULL,568,0,0,568,750,1000,StockOut
343,NULL,606,0,0,606,750,1000,StockOut
343,NULL,499,0,0,499,750,1000,StockOut
344,NULL,358,0,0,358,750,1000,StockOut
344,NULL,332,0,0,332,750,1000,StockOut
